"PK","Lng","Lat"
"202","-74.671727","5.476584"
"203","-74.67743299999999","5.483585"
"204","-74.682948","5.490742"
"205","-74.68797499999999","5.498186"
"206","-74.68977599999999","5.507046"
"207","-74.691554","5.51591"
"208","-74.69278799999999","5.52485"
"209","-74.691588","5.533766"
"210","-74.68559","5.540463"
"211","-74.679975","5.547264"
"212","-74.676519","5.555617"
"213","-74.67212000000001","5.563501"
"214","-74.672506","5.572314"
"215","-74.67245","5.581323"
"216","-74.66890100000001","5.589635"
"217","-74.66558000000001","5.598043"
"218","-74.66307999999999","5.606715"
"219","-74.661075","5.615527"
"220","-74.661235","5.624507"
"221","-74.658227","5.633004"
"222","-74.654898","5.641409"
"223","-74.65496400000001","5.650176"
"224","-74.65610700000001","5.659011000000001"
"225","-74.65648899999999","5.667979000000001"
"226","-74.65274599999999","5.676206"
"227","-74.649548","5.684604999999999"
"228","-74.64961","5.693555"
"229","-74.65262800000001","5.702030000000001"
"230","-74.657892","5.709376"
"231","-74.66306899999999","5.716762"
"232","-74.66753799999999","5.724619"
"233","-74.672006","5.732475"
"234","-74.67504599999999","5.740962000000001"
"235","-74.678297","5.749362000000001"
"237","-74.676238","5.766021000000001"
"238","-74.67209200000001","5.774053"
"239","-74.668228","5.78222"
"240","-74.661293","5.787451000000001"
"241","-74.65621","5.793665999999999"
"242","-74.657157","5.802521000000001"
"243","-74.65571199999999","5.811399"
"244","-74.656182","5.820426"
"245","-74.656032","5.829467000000001"
"246","-74.655304","5.838434000000001"
"247","-74.652992","5.847124"
"248","-74.649747","5.855518999999999"
"249","-74.646081","5.863768000000001"
"250","-74.64376","5.872484"
"251","-74.640226","5.880776"
"252","-74.640051","5.889500999999999"
"253","-74.64208000000001","5.898161999999999"
"254","-74.642421","5.906981000000001"
"255","-74.64143199999999","5.915969"
"256","-74.642692","5.924887"
"257","-74.643541","5.933816000000001"
"258","-74.64028500000001","5.942242"
"259","-74.636391","5.95036"
"260","-74.63332800000001","5.958529"
"261","-74.631344","5.967309999999999"
"262","-74.62941499999999","5.976057"
"263","-74.631101","5.984343"
"264","-74.632502","5.993267000000001"
"265","-74.63546700000001","6.001683"
"266","-74.642759","6.006255"
"267","-74.645757","6.01467"
"268","-74.642765","6.023085999999999"
"269","-74.639943","6.031674"
"270","-74.63716599999999","6.040278"
"271","-74.632147","6.047493"
"272","-74.62513300000001","6.053191"
"273","-74.61811899999999","6.058888"
"274","-74.612713","6.06584"
"275","-74.611958","6.074558"
"276","-74.614513","6.083231"
"277","-74.617071","6.091904"
"278","-74.619629","6.100575999999999"
"279","-74.620904","6.109442000000001"
"280","-74.61917099999999","6.118316"
"281","-74.617394","6.127181"
"282","-74.61561399999999","6.136046"
"283","-74.613839","6.144912"
"284","-74.612161","6.153791999999999"
"285","-74.614306","6.16256"
"286","-74.613001","6.170964"
"287","-74.61096499999999","6.179543"
"288","-74.61059400000001","6.188577"
"289","-74.610224","6.197612"
"290","-74.609531","6.206602"
"291","-74.604872","6.21432"
"292","-74.596557","6.217114999999999"
"293","-74.587568","6.218035"
"294","-74.58063799999999","6.223516"
"295","-74.574699","6.230331"
"296","-74.567223","6.235129999999999"
"297","-74.56565999999999","6.243797"
"298","-74.561656","6.251812000000001"
"299","-74.55697499999999","6.258531"
"300","-74.552025","6.26518"
"301","-74.546903","6.272561999999999"
"302","-74.541009","6.27939"
"303","-74.53394900000001","6.284770999999999"
"304","-74.52844899999999","6.291754"
"305","-74.52103099999999","6.296785"
"306","-74.512316","6.29677"
"307","-74.50413","6.299274"
"308","-74.496584","6.304249"
"309","-74.489569","6.309937"
"310","-74.48547000000001","6.317717000000001"
"311","-74.480163","6.325025"
"312","-74.47532200000001","6.332603000000001"
"313","-74.470197","6.340043"
"314","-74.46671000000001","6.348373"
"315","-74.463285","6.356721"
"316","-74.45849","6.364386"
"317","-74.45369599999999","6.372051"
"318","-74.448909","6.379721"
"319","-74.44574299999999","6.388161999999999"
"320","-74.43985499999999","6.39502"
"321","-74.433939","6.401856"
"322","-74.428023","6.408693"
"323","-74.423434","6.416416"
"324","-74.41973299999999","6.424654"
"325","-74.4188","6.433641999999999"
"326","-74.420642","6.442474"
"327","-74.422792","6.451256999999999"
"328","-74.421239","6.459196"
"329","-74.41575400000001","6.466312000000001"
"330","-74.411813","6.474443"
"331","-74.411393","6.48346"
"332","-74.403975","6.484867"
"333","-74.396715","6.479479000000001"
"334","-74.388231","6.477292"
"335","-74.380009","6.480977"
"336","-74.371942","6.485056999999999"
"337","-74.36389800000001","6.488928999999999"
"338","-74.35626999999999","6.493715"
"339","-74.34777800000001","6.496817"
"340","-74.339635","6.500595"
"341","-74.333494","6.507131"
"342","-74.32491","6.509903"
"343","-74.31623999999999","6.512392999999999"
"344","-74.30793799999999","6.515743"
"345","-74.29891499999999","6.516308"
"346","-74.29049999999999","6.519293"
"347","-74.283503","6.524831"
"348","-74.277576","6.531653"
"349","-74.270045","6.536632"
"350","-74.26235","6.541381"
"351","-74.254654","6.546125999999999"
"352","-74.24695800000001","6.550871999999999"
"353","-74.238962","6.555049"
"354","-74.230192","6.55721"
"355","-74.22134200000001","6.559059"
"356","-74.212492","6.560914"
"357","-74.20356099999999","6.562091"
"358","-74.194562","6.561206999999999"
"359","-74.18562799999999","6.561733"
"360","-74.177431","6.565541999999999"
"361","-74.169279","6.569453000000001"
"362","-74.16112699999999","6.573366"
"363","-74.152973","6.577273999999999"
"364","-74.14485999999999","6.581259"
"365","-74.138368","6.587504000000001"
"366","-74.131908","6.59377"
"367","-74.123699","6.597561"
"368","-74.115476","6.601322999999999"
"369","-74.109049","6.607165"
"370","-74.108424","6.616170000000001"
"371","-74.102952","6.622654"
"372","-74.094942","6.626851"
"373","-74.08693100000001","6.631046"
"374","-74.07892","6.635241"
"375","-74.071","6.639594000000001"
"376","-74.064261","6.645613999999999"
"377","-74.057647","6.65178"
"378","-74.051202","6.658105"
"379","-74.049695","6.666735999999999"
"380","-74.051726","6.675547"
"381","-74.053759","6.684358"
"382","-74.055789","6.69317"
"383","-74.054087","6.701857"
"384","-74.05407099999999","6.710889"
"385","-74.05184800000001","6.719411"
"386","-74.04624800000001","6.72633"
"387","-74.042812","6.734343"
"388","-74.04449","6.742676000000001"
"389","-74.039686","6.750337000000001"
"390","-74.032549","6.755276000000001"
"391","-74.023866","6.75779"
"392","-74.01494099999999","6.759264"
"393","-74.00682500000001","6.762945"
"394","-74.000507","6.769304"
"395","-73.993224","6.773945"
"396","-73.984424","6.776036"
"397","-73.975623","6.778125"
"398","-73.967297","6.776093"
"399","-73.96511099999999","6.76761"
"400","-73.959037","6.762236"
"401","-73.95008900000001","6.760934999999999"
"402","-73.94112199999999","6.762007"
"403","-73.933868","6.766315"
"404","-73.934403","6.775282"
"405","-73.930739","6.783449"
"406","-73.926329","6.791343999999999"
"407","-73.921921","6.799239999999999"
"408","-73.917722","6.807247"
"409","-73.913686","6.81534"
"410","-73.908772","6.822784000000001"
"411","-73.90168300000001","6.828302"
"412","-73.893629","6.830798"
"413","-73.885789","6.834956"
"414","-73.878364","6.840117999999999"
"415","-73.874369","6.84782"
"416","-73.870379","6.855703"
"417","-73.86618300000001","6.863685"
"418","-73.862769","6.872007999999999"
"419","-73.858942","6.880081"
"420","-73.854517","6.887871"
"421","-73.85451999999999","6.896794000000001"
"422","-73.85198099999999","6.905472"
"423","-73.846142","6.912326"
"424","-73.839917","6.917993"
"425","-73.843245","6.926337000000001"
"426","-73.845963","6.934815000000001"
"427","-73.845983","6.943092"
"428","-73.84775399999999","6.951613000000001"
"429","-73.85170100000001","6.959619"
"430","-73.855536","6.967716000000001"
"431","-73.852812","6.976004000000001"
"432","-73.84932499999999","6.984295"
"433","-73.846135","6.992587"
"434","-73.842276","7.000159"
"435","-73.836409","7.006466"
"436","-73.832784","7.01469"
"437","-73.82978900000001","7.023128"
"438","-73.82733","7.031536"
"439","-73.833704","7.037714"
"440","-73.839439","7.044538"
"441","-73.84584599999999","7.050779"
"442","-73.847495","7.059417"
"443","-73.84773","7.068456000000001"
"444","-73.846718","7.077381999999999"
"445","-73.844615","7.086177000000001"
"446","-73.846653","7.094629"
"447","-73.84996700000001","7.102629"
"448","-73.855923","7.109437"
"449","-73.854963","7.117946"
"450","-73.85157599999999","7.126321"
"451","-73.84397","7.130986"
"452","-73.838184","7.137934"
"453","-73.83483","7.146083"
"454","-73.831915","7.154425"
"455","-73.82529700000001","7.160220000000001"
"456","-73.820993","7.168175000000001"
"457","-73.818344","7.176773"
"458","-73.81437200000001","7.18489"
"459","-73.810109","7.19266"
"460","-73.804492","7.199684"
"461","-73.8001","7.207568"
"462","-73.79608899999999","7.215675"
"463","-73.79207599999999","7.22378"
"464","-73.788718","7.232116"
"465","-73.787485","7.241074"
"466","-73.786232","7.250029"
"467","-73.78497900000001","7.258984"
"468","-73.78572699999999","7.267981"
"469","-73.786722","7.276968"
"470","-73.78772499999999","7.285954"
"471","-73.788731","7.29494"
"472","-73.789738","7.303926"
"473","-73.793232","7.312234"
"474","-73.796691","7.320547000000001"
"475","-73.794417","7.329278"
"476","-73.790616","7.337348"
"477","-73.78730899999999","7.345214"
"478","-73.78293600000001","7.352893000000001"
"479","-73.777725","7.359977"
"480","-73.76915099999999","7.362712"
"481","-73.765125","7.370756"
"482","-73.758852","7.377102"
"483","-73.754603","7.384782"
"484","-73.75322199999999","7.393170000000001"
"485","-73.74719899999999","7.399796"
"486","-73.742176","7.406523"
"487","-73.73375","7.409843"
"488","-73.72820400000001","7.416127"
"489","-73.72706599999999","7.425017"
"490","-73.729568","7.433505"
"491","-73.730884","7.442447999999999"
"492","-73.72621700000001","7.450036"
"493","-73.720775","7.457265000000001"
"494","-73.71920799999999","7.466102"
"495","-73.71567899999999","7.474266000000001"
"496","-73.709219","7.480575"
"497","-73.70026","7.481581"
"498","-73.691344","7.48318"
"499","-73.682776","7.485656"
"500","-73.67523300000001","7.490416999999999"
"501","-73.667237","7.494443"
"502","-73.660571","7.500566000000001"
"503","-73.653903","7.506689"
"504","-73.647238","7.512813"
"505","-73.640135","7.518421"
"506","-73.633088","7.524092"
"507","-73.62669099999999","7.530495"
"508","-73.62108000000001","7.537579"
"509","-73.61569299999999","7.544848999999999"
"510","-73.610305","7.552118"
"511","-73.60491","7.559381000000001"
"512","-73.599515","7.566645"
"513","-73.594123","7.573912"
"514","-73.58872700000001","7.581175999999999"
"515","-73.58355899999999","7.588588"
"516","-73.57919","7.596509"
"517","-73.57531","7.60468"
"518","-73.571476","7.612872"
"519","-73.566878","7.620605"
"520","-73.561173","7.627630000000001"
"521","-73.55547","7.634657"
"522","-73.549763","7.641681"
"523","-73.54405199999999","7.648701"
"524","-73.53833899999999","7.655719999999999"
"525","-73.53263099999999","7.662743"
"526","-73.526929","7.669771"
"527","-73.521227","7.676799"
"528","-73.51552700000001","7.683827999999999"
"529","-73.514306","7.692148"
"530","-73.516609","7.700893"
"16","-74.18264000000001","4.699503"
"17","-74.191636","4.698953"
"18","-74.200633","4.698406"
"19","-74.20963","4.697858"
"20","-74.218388","4.69882"
"21","-74.22546800000001","4.704415"
"22","-74.232535","4.710028"
"23","-74.239604","4.715637"
"24","-74.246672","4.721248"
"25","-74.253739","4.726861"
"26","-74.260817","4.732459"
"27","-74.268254","4.737569"
"5","-74.106843","4.641474"
"43","-74.017371","4.937832"
"44","-74.015416","4.946654"
"45","-74.01428199999999","4.955609"
"46","-74.011523","4.963935"
"47","-74.00606000000001","4.970945"
"48","-74.00312099999999","4.978752"
"49","-74.002848","4.987779"
"531","-73.51892700000001","7.709634"
"532","-73.52126199999999","7.71837"
"533","-73.52358","7.727109"
"534","-73.52589","7.735852"
"535","-73.52819599999999","7.744596"
"536","-73.53054","7.753329999999999"
"537","-73.532876","7.762066"
"538","-73.535231","7.770797"
"539","-73.537601","7.779524"
"540","-73.539968","7.788252"
"541","-73.54234099999999","7.796978"
"542","-73.544715","7.805704"
"543","-73.547084","7.814431000000001"
"544","-73.549452","7.823159"
"545","-73.55183","7.831883"
"546","-73.554233","7.840602"
"547","-73.556636","7.84932"
"548","-73.559048","7.858031999999999"
"549","-73.56147","7.866745"
"550","-73.563902","7.875455000000001"
"551","-73.566343","7.884163"
"552","-73.56879499999999","7.892868"
"553","-73.571263","7.901568"
"554","-73.573736","7.910266999999999"
"555","-73.576215","7.918963999999999"
"556","-73.57871799999999","7.927655"
"557","-73.582426","7.935847"
"558","-73.586833","7.943738999999999"
"559","-73.59043800000001","7.952035"
"560","-73.594049","7.960330000000001"
"561","-73.59768800000001","7.968612"
"562","-73.601326","7.976894"
"563","-73.60496999999999","7.985174000000001"
"564","-73.608631","7.993446"
"565","-73.612295","8.001716999999999"
"566","-73.615977","8.009980000000001"
"567","-73.61968","8.018235000000001"
"568","-73.623394","8.026483000000001"
"569","-73.62708499999999","8.034742"
"570","-73.63027599999999","8.043206"
"571","-73.633439","8.051679999999999"
"572","-73.636605","8.060153"
"573","-73.639775","8.068625000000001"
"574","-73.642939","8.077097999999999"
"575","-73.646107","8.085571"
"576","-73.649271","8.094044999999999"
"577","-73.652435","8.102518999999999"
"578","-73.655597","8.110994"
"579","-73.65875800000001","8.119469"
"580","-73.661925","8.127941999999999"
"581","-73.665088","8.136416000000001"
"582","-73.66825799999999","8.144888"
"583","-73.671425","8.153361"
"584","-73.674588","8.161835999999999"
"585","-73.677751","8.170310000000001"
"586","-73.680913","8.178785"
"587","-73.684077","8.18726"
"588","-73.687235","8.195736"
"589","-73.690229","8.204266000000001"
"590","-73.692438","8.213036000000001"
"591","-73.69465099999999","8.221805"
"592","-73.696862","8.230574000000001"
"593","-73.69977799999999","8.239129999999999"
"594","-73.702872","8.247629999999999"
"595","-73.70596399999999","8.256131"
"596","-73.709062","8.26463"
"597","-73.71216099999999","8.273128"
"598","-73.71526299999999","8.281625"
"599","-73.71455899999999","8.290236999999999"
"600","-73.71184","8.298788999999999"
"601","-73.714479","8.307426"
"602","-73.716052","8.316274999999999"
"603","-73.71679899999999","8.325279999999999"
"604","-73.71929799999999","8.333971999999999"
"605","-73.720495","8.342822"
"606","-73.719572","8.351817"
"607","-73.718659","8.360813"
"608","-73.717741","8.369808000000001"
"609","-73.716821","8.378803"
"610","-73.71585899999999","8.387794"
"611","-73.71489699999999","8.396784999999999"
"612","-73.713938","8.405775999999999"
"613","-73.712979","8.414766999999999"
"614","-73.712012","8.423757"
"615","-73.711066","8.432748999999999"
"616","-73.71011900000001","8.441741"
"617","-73.709172","8.450734000000001"
"618","-73.708237","8.459727000000001"
"619","-73.70730399999999","8.468721"
"620","-73.70637600000001","8.477715"
"621","-73.705946","8.486732"
